ラベル,Label,Abbreviation
2官能性モノマー,Bifunctional monomer,
50%結晶化時間,Half-time of crystallization,
CAS登録番号,CAS Registry No.,
CU化学式,CU chemical formula,
Hildebrandパラメータ,Hildebrand parameter,
PoLyInfoモノマー登録番号,PoLyInfo Monomer ID,MID
Tgにおける熱容量増分,Heat capacity increment at Tg,
アイゾッド衝撃値,Izod impact,
アクリル酸類,Acrylic acids,
アセタール,acetals,
アセチレン,Acetylenes,
アッベの屈折計,Abbe refractometer,
アニーリング,Annealing,
アニオン重合,Anionic polymerization,
アニリン誘導体,Anilines,
アブラミ式の核生成パラメータ,Nucleation parameter of Avrami equation,n
アブラミ式の成長速度パラメータ,Growth rate parameter of Avrami equation,k
アミノカルボン酸,Amino acids,
アミノ酸-N-カルボン酸無水物,Amino acid N-carboxy anhydrides,
アモルファス,Amorphous,
アルデヒド,Aldehydes,
インヘレント粘度,Inherent viscosity,
エーテル,ethers,
オキシカルボン酸,Hydroxy acids,
オレフィン,Olefins,
かさ密度,Bulk density,
ガス拡散係数,Gas diffusion coefficient,
ガス透過係数,Gas permeability coefficient,
ガス溶解度係数,Gas solubility coefficient,
カチオン重合,Cationic polymerization,
ガラス-ゴム転移温度,Glass-rubber transition temperature,
ガラス温度,Glass temperature,
ガラス転移温度,Glass transition temperature, 
ガラス転移点,Glass transition point,
キャノン・フェンスケ,Cannon-Fenske,
クーン−マーク−ホーウィンク−桜田の式,Kuhn-Mark-Houwink-Sakurada equation,
くもり点,cloudy spot,
クリープ特性,Creep characteristic,
クリープ破断強さ,Compressive creep rupture strength,
クリープ破断時間,Compressive creep rupture time,
けい素化合物,Silane compounds,
結晶,Crystal,
ゲル浸透クロマトグラフィー,Gel permeation chromatography,GPC
サイズ排除クロマトグラフィー,Size-exclusion chromatography,SEC
サンプルID,Sample ID,
ジケトン化合物,Diketones,
ジアミン,Diamines,
ジイソシアナート,Diisocyanates,
ジエン,Dienes,
ジオール,Diols,
ジカルボン酸類,Dicarboxylic acids,
ジハロゲン化合物,Dihalides,
シャルピー衝撃値,Charpy impact,
ショア硬度,Shore hardness,
シラン,silanes,
シリンダー,Cylinder,
スチレン,Styrenes,
スルホアミド,sulfoamides,
スルホキシド,sulfoxides,
スルホン酸塩,sulfonates,
ぜい化温度,Brittleness temperature,
せん断弾性率,Shear modulus,
その他の一次構造情報,,
その他の物性,Other property,
その他ポリマー,Other polymers,
その他モノマー,Other monomers,
タクチシチー,,
チオアミド,thioamides,
チオイミド,thioimides,
チオウレタン,thiourethanes,
チオエステル,thioesters,
チオケトン,thioketones,
チオ炭酸塩,thiocarbonates,
チオ尿素,thioureas,
チオ無水物,thioanhydrides,
デジタル,Digital,
ハギンス式,Huggins equation,
バルク弾性率,,
ハロゲン化オレフィン,Halo-olefins,
ハンセンパラメータ,Hansen parameter ,
ピーク分子量,peak molecular weight,
ビカット軟化温度,Vicat softening temperature,VST
ビニル化合物,Vinyl compounds,
フィッシャージョンの融点装置,"Fisher-John's melting point apparatus",
フィッシャージョン溶融装置,"Fisher-John's melting apparatus",
フェノール,Phenols,
ブルックフィールド形単一円筒回転粘度計,, 
ブローフィルム,Blown film,
ポリアクリル,Polyacrylics,
ポリアミド,Polyamides,
ポリイミド,Polyimides,
ポリイミン,Polyimines,
ポリウレタン,Polyurethanes,
ポリエーテル,Polyoxides,
ポリエステル,Polyesters,
ポリオレフィン,Polyolefins,
ポリカーボナート,Polycarbonates,
ポリケトン,Polyketones,
ポリジエン,Polydienes,
ポリシロキサン,Polysiloxanes,
ポリスチレン,Polystyrenes,
ポリスルフィド,Polysulfides,
ポリスルホン,Polysulfones,
ポリハロオレフィン,Polyhalo-olefins,
ポリビニル,Polyvinyls,
ポリフェニレン,Polyphenylenes,
ポリホスファゼン,Polyphosphazenes,
ポリマー,Polymer,
ポリマーID,Polymer ID,
ポリマーの代表名,Typical polymer name,
ポリマー鎖,polymer chain,
ポリマー分子,polymer molecule,
ポリマー分類,Polymer class,
ポリマー名,Polymer name,
ポリマー名称,Polymer names,
ポリ酸無水物,Polyanhydrides,
ポリ尿素,Polyureas,
マーク‐ホーウインク式,Mark-Houwink equation,
メラミン,Melamines,
メルトインデックス,Melt index,MI
メルトフローインデックス,Melt flow index,MFI
モノマー,Monomer,
モノマーの代表名,Representative names of monomers,
モノマー分類,Monomer class,
モノマー名称,Monomer name,
ラクタム,Lactams,
ラクトン,Lactones,
ラジカル重合,Radical polymerization,
ランダムな構造,atactic,
リアクタント,Reactant,
リビング重合,Living polymerization,
レオロジカル物性,Rheological property,
ローレンツ−ローレンスの式,Lorentz-Lorenz equation,
ロックウェル硬さ,Rockwell hardness,
ロックウェル表面,Rockwell superficial,
圧縮,Compression,
圧縮クリープひずみ,Compressive creep strain,
圧縮性,Compressibility,
圧縮弾性率,Compressive modulus,
圧縮特性,Compressive properties,
圧縮特性,Dynamic compressive properties,
圧縮破壊応力,Compressive stress at break,
圧縮破壊強さ,Compressive strength at break,
圧力,pressure,
一次構造情報,First order structure information,
引張クリープ回復,Tensile creep recovery,
引張クリープ弾性率,Tensile creep modulus,
引張クリープ適合性,Tensile creep compliance,
引張クリープ破断強度,Tensile creep rupture strength,
引張クリープ破断時間,Tensile creep rupture time,
引張クリープ歪み,Tensile creep strain,
引張降伏応力,Tensile stress at yield,
引張降伏強さ,Tensile strength at yield,
引張弾性率,Tensile modulus, 
引張特性,Tensile property, 
引張破壊応力,Tensile stress at break,
引張破壊強さ,Tensile strength at break,
右側結合情報,right-handed linkage information,
液晶相転移温度,LC phase transition temperature,
応力光学係数,Stress-optical coefficient,
押出成形,Extrusion,
温度,temperature,
化学構造情報,Chemical structure information,
化合物レジストリシステム,Compound registry system,
化合物レジストリ番号,Registry No.,
荷重たわみ温度,Deflection temperature under load,
回転粘度計,Rotational rheometer, 
回転半径,Radius of gyration,
塊状重合,Bulk polymerization,
界面重合,Interfacial polymerization,
界面張力,Interfacial tension,
開環重合,Ring-opening polymerization,
開環重合型,ring-opening polymerization,
開始剤,Initiator,
拡散係数,Diffusion coefficient,
拡散係数−モル質量,Diffusion coefficient-molar mass,DM
核生成速度,nucleation rate,
活性化エネルギー,Activation energy,
慣用名,Trivial Name,
環境,environment,
環状アミン,Cyclic amines,
環状イミド,Cyclic imides,
環状イミノエーテル,Cyclic iminoethers,
環状エーテル,Cyclic ethers,
環状オレフィン,Cyclic olefins,
環状カーボナート,Cyclic carbonates,
環状スルフィド,Cyclic sulfides,
環状モノマー,cyclic monomer,
環状含シリコン化合物,Silicon containing cyclic compounds,
環状含リン化合物,Phosphorus contg cyclic compounds,
環状酸無水物,Cyclic acid anhydrides,
還元粘度,Reduced viscosity,
含リン化合物,Phosphorus containing compounds,
含硫黄化合物,Sulfur containing compounds,
基本要素番号,base element number,
希薄溶液物性,Dilute solution property,
幾何異性,geometric isomerism,
気相重合,Gas-phase polymerization,
気体拡散係数,Gas diffusion coefficient,
気体透過係数,gas permeability,
記述規則,descriptive rules,
吸湿量,Moisture absorption,
吸水率,Water absorption,
球晶成長速度,Growth rate of spherulite,
球状成長率,spherulitic growth rate,
凝固点降下法,Cryoscopy,
凝集エネルギー密度,Cohesive energy density,
曲げクリープ破断強度,Flexural creep rupture strength,
曲げクリープ破断時間,Flexural creep rupture time,
曲げクリープ歪み,Flexural creep strain,
曲げ弾性率,Flexural modulus,
曲げ特性,Flexural property,
極限粘度数,Limiting viscosity number, 
屈曲度計,Pycnometer,
屈折率,Refractive index,
結合方向,Coupling direction,
結晶化,Crystallization,
結晶化温度,Crystallization temperature,
結晶化速度,Crystallization kinetics,
結晶化度,crystallinity,
結晶化熱,Heat of crystallization,
結晶型,crystalline form,
結晶構造情報,Crystal Structure Information,
結晶情報 ,Crystallographic information,
結晶性,crystalline,
結晶成長速度,Growth rate of crystal,R
懸濁重合,Suspension polymerization,
見掛け密度,Apparent density,
顕微鏡,Microscope,
原料基礎名,Source-based name,
固相重合,Solid-state polymerization,
固有粘度,Inherent viscosity,
固有粘度,Intrinsic viscosity,
固有粘度−モル質量,Intrinsic viscosity-molar mass,VM
後処理,Post-treatment,
光音響,Opto-acoustic,
光学顕微鏡,Optical microscope,
光学的性質,Optical property,
光学的方法,Optical method,
光散乱法,Light scattering method,LS
光弾性効果,Photoelasticity,
構成繰り返し単位,Constitutional repeating unit,CRU
構成単位,Constitutional unit,CU
構造基礎名,Structure-based name,
硬度,Hardness,
降伏時圧縮応力,Compressive stress at yield,
降伏時圧縮強度,Compressive strength at yield,
降伏伸び,Elongation at yield,
降伏点曲げ応力,Flexural stress at yield,
降伏点曲げ強さ,Flexural strength at yield,
高分子材料,polymer material,
高分子辞書,Polymer dictionary,
高分子反応,Polymer reaction,
左側結合情報,left-handed linkage information,
細管レオメーター,Capillary rheometer,
材料名,Material name,
酸素指標,Oxygen index,
試料形状,Sample Shape,
時間,time,
式量,formula weight,
重合パス,PoLymerization paths,
重合機構,Polymerization mechanisms,
重合条件,Polymerization conditions,
重合度,Degree of polymerizaition,DP
重合反応分類,Polymerization types,
重合様式,Polymerization styles,
重縮合,Polycondensation,
重縮合型,condensation polymerization type,
重付加,Polyaddition,
重付加型,polyaddition type,
重量平均分子量,Weight-average molecular weight,Mw
処理条件,processing conditions,
処理方法,processing method,
商品名,Trade name,
小角X線散乱法,Small-angle X-ray scattering,SAXS
小角中性子散乱法,Small-angle neutron scattering,SANS
蒸気圧浸透法,Vapor pressure osmometry,VPO
触媒,Catalyst,
浸透圧法,Osmometry,
水蒸気透過度,Water vapor transmission rate,
数平均分子量,Number-average molecular weight,Mn
成形後の状態,Condition after molding,
成形情報 ,Processing information,
成形条件,Molding conditions,
成分・組成,Component and composition,
星型ポリマーの中央部,Central part of star polymer,
接合部,Junction part,
摂動広がり,Perturbed dimension,
絶縁破壊強さ,Dielectric breakdown strength,
絶縁破壊電圧,Dielectric breakdown voltage,
線膨張係数,Linear expansion coefficient,
繊維,Fiber,
繊維引張伸び,Fiber tensile elongation at break,
繊維引張弾性率,Fiber tensile modulus, 
相対粘度増分,Relative viscosity increment,
相平衡,Phase Equilibrium,PE
総称,Generic name,
損失正接,Loss tangent,
損失弾性率,Loss modulus,
損失誘電率,Loss dielectric constant,
体系名,Systematic Name,
体積弾性率,Bulk modulus,
体積抵抗率,Volume resistivity,
体積膨張係数,Volume expansion coefficient,
耐衝撃性,Impact strength,
耐熱,Heat resistance,
耐放射線性,Radiation resistance,
第二ビリアル係数,Second virial coefficient,
単結晶,Single crystal,
炭酸誘導体,Carbonates,
炭素多重結合系モノマー,Carbon multi-bonded monomers,
弾力性,Resilience,
貯蔵弾性率,Storage modulus,
貯蔵誘電率,Storage dielectric constant,
調節,Conditioning,
超遠心分離,Ultra-centrifuge, 
超遠心法,Ultracentrifugal method,
超音波測定,Ultrasonic measurement,
沈降,Sedimentation,
沈降係数,Sedimentation coefficient,
沈降係数−モル質量,Sedimentation coefficient-molar mass,SM
通過光強度測定,Passing light intensity measurement,
抵抗率,Specific resistivity,
添加剤,Additives,
転移温度,Transition Temperature,
電気的性質,Electrical property,
電気伝導度,Electric conductivity, 
等温重量減少,Isothermal weight loss,
等温重量分析,Isothermogravimetric analysis,
透湿度,Water vapor transmission, 
動的引張特性,Dynamic tensile property, 
動的機械特性,Dynamic mechanical properties,
動的曲げ特性,Dynamic flexural properties,
動的剪断特性,Dynamic shear properties,
動粘性率,Dynamic viscosity,
曇点,Cloud point,C.P.
軟化温度,Softening temperature,
二重円筒回転粘度計,Dual-cylinder rotational viscometer,
日化辞番号,JST Substance No.,
乳化重合,Emulsion polymerization,
尿素,Ureas,
熱拡散率,Thermal diffusivity,
熱処理,Thermal treatment,
熱的性質,Thermal property,
熱伝達,Heat transfer,
熱伝導,Heat conduction,
熱伝導度,Thermal conductivity,
熱特性,Heat characteristic,
熱分解,Thermal decomposition,
熱分解温度,Thermal decomposition temperature,
熱変形温度,heat deflection temperature,HDT
熱膨張,Thermal expansion,
熱膨張率,thermal expansion coefficient,
燃焼特性,Combustion characteristics,
粘度,Viscosity,
粘度平均分子量,Viscosity-average molecular weight,Mv
破壊伸び,Elongation at break, 
破断点曲げ応力,Flexural stress at break,
破断点曲げ強さ,Flexural strength at break,
配位重合,Coordination polymerization,
配向度,orientation,
反応条件,Reaction condition,
反射,Reflection,
比重,Specific gravity,
比体積,Specific volume,
比熱容量,Specific heat capacity,Cp
比粘度,Specific viscosity,
比誘電率,Dielectric constant,
非摂動広がり,Unperturbed dimension,
非溶媒,Non-solvent ,
表面張力,Surface tension,
表面抵抗率,Surface resistivity,
貧溶媒,Poor solvent,
付加重合,Addition polymerization,
付加重合型,Addition polymerization type,
沸点上昇法,Ebullioscopy,
物性,Property,
物理化学的性質,Physicochemical property,
物理的性質,Physical property,
分岐の線型書式,Branching Line Format,
分岐結合情報,branched linkage information,
分岐部,Branching part,
平均分子量,Average molecular weight,Mz
平衡融点,Equilibrium melting temperature,
芳香族エーテル,Aromatic ethers,
膨張計,Dilatometer,
膨張率測定,Dilatometry,
膜浸透,Membrane osmosis,
膜浸透圧法,Membrane osmometry,
末端間ベクトル,End-to-end vector, 
末端間距離,End-to-end distance,
末端基,End group,
密度,Density,
密度と屈折率の関係,Density-Refractive Index relation,
密度測定,Density measurement,
誘電緩和,Dielectric relaxation,
誘電正接,Dielectric dissipation factor,
誘電正接,Dielectric loss tangent,
誘電損率,Dielectric loss factor,
誘電特性,Dielectric properties,
誘電分散,Dielectric dispersion,
誘電率,Dielectric constant,DC
溶液重合,Solution polymerization,
溶液粘度,Solution viscosity,
溶液流延,Solvent casting,
溶解度パラメータ,Solubility parameter,
溶媒,Solvent,
溶融温度,Melting temperature,
溶融熱,Heat of fusion,
溶融粘度,Melt viscosity, 
溶融流れ速度,Melt flow rate,MFR
立体規則性,isotactic,
立体規則性情報,stereographic information,
略号,abbreviation,
略称,Abbreviation,
良溶媒,Good solvent,
臨界角屈折法,Critical angle refraction method,
臨界表面張力,Critical surface tension,
剪断特性,Shear property,
Θ温度,Theta-temperature,
Θ溶媒,Theta-solvent,
,As polymerized,
,As received,
,Bar,
,Block,
,Blow,
,bottole,
,Bridge,
,Bulk,
,Calender,
,Cannon-Ubbelohde,
,Corrections to A Guide to IUPAC Nomenclature of Organic Compounds,
,Disk,
,eta inh,
,Film,
,G value,
,Inflation film,
,Injection,
,IUPAC Nomenclature of Organic Chemistry,
,Laser Flash,
,lyotropic,
,nematic,
,Ostwald,
,Pellet,
,Plate,
,Powder,
,PVT relation,
,Quenching,
,Rockwell,
,Roll,
,Sheet,
,smectic,
,Solution,
,Spin casting,
,Spin coating,
,Spinning,
,Step,
,Stretching,
,Swelling,
,syndiotactic,
,Tensile tester DMA,
,thermotropic,
,Ubbelohde,
,UL Flammability code rating,
,UL temperature index,
,,TMA
,,TG
,,DTA
,,DSC
,,DMA